Regiões de Saúde,Código da R.S.,Percentual da população com abastecimento adequado de água,Percentual da população com disposição adequada do esgoto sanitário,Percentual da população atendida por serviço regular de coleta de lixo domiciliar,Renda média per capita (em R$),Razão de dependência,Índice de Desenvolvimento Humano,Taxa de desemprego,Densidade demográfica,População total,Percentual da população com abastecimento adequado de água,Percentual da população com disposição adequada do esgoto sanitário,Percentual da população atendida por serviço regular de coleta de lixo domiciliar,População masculina total,População feminina total,Percentual da população analfabeta de 15 anos ou mais,Percentual da população residente com renda domiciliar mensal per capita de até meio salário mínimo,Razão entre a renda dos 10% mais ricos e a dos 40% mais pobres,Recursos próprios por habitante (em R$),Gasto público em saúde como proporção do PIB,Percentual dos recursos próprios destinados à saúde,Recursos próprios destinados à saúde por habitante (em R$),Total das transferências SUS por habitante (em R$),Gasto público total em saúde por habitante (em R$),Equipamentos de ultrassonografia por 100 mil habitantes,Equipamentos de ultrassonografia diponíveis ao SUS por 100 mil habitantes,Enfermeiros por 100 mil habitantes,Enfermeiros disponíveis ao SUS por 100 mil habitantes,Médicos de Saúde da Família ou Médicos Comunitários por 100 mil habitantes,Médicos Ginecologistas e Obstetras ou Mastologistas e Cirurgiões de Mama por 100 mil habitantes,"Médicos Pediatras, Hebeatras e Neonatologistas por 100 mil habitantes",Médicos disponíveis ao SUS por 100 mil habitantes,Médicos de Saúde da Família ou Médicos Comunitários disponíveis ao SUS por 100 mil habitantes,Médicos Ginecologistas Obstetras ou Mastologistas e Cirurgiões de Mama disponíveis ao SUS por 100 mil habitantes,"Médicos Pediatras, Hebeatras e Neonatologistas disponíveis ao SUS por 100 mil habitantes",Leitos de UTI Neonatal por 1000 nascidos vivos,Leitos de UTI Neonatal disponíveis ao SUS por 1000 nascidos vivos,Percentual de partos hospitalares,Percentual de crianças menores de 1 ano vacinadas com tetravalente/pentavalente,Percentual da população coberta pela Estratégia Saúde da Família (ESF),Distância média percorrida (em km) para realização de parto hospitalar fora da Região de Saúde de residência,Percentual de partos hospitalares realizados fora da Região de Saúde de residência,Razão entre o número de exames citopatológicos em mulheres de 25 a 64 anos e um terço da população de mulheres na mesma faixa etária,Percentual da população coberta por planos e seguros de assistência suplementar à saúde,Cobertura populacional estimada pelas equipes de Atenção Básica,Taxa de histerectomias padronizada por idade por 100 mil mulheres de 20 anos ou mais,Percentual de nascidos vivos de mães que fizeram mais de 6 consultas pré-natal,Número de casos novos de sífilis congênita em menores de 1 ano,Taxa de mortalidade neonatal precoce (0 a 6 dias) por 1000 nascidos vivos,Taxa de mortalidade neonatal tardia (7 a 27 dias) por 1000 nascidos vivos,Taxa de mortalidade pós-neonatal (28 a 364 dias) por 1000 nascidos vivos,Número de óbitos maternos devidos a causas diretas por 100.000 nascidos vivos,Taxa de mortalidade infantil (menores de 1 ano) por 1000 nascidos vivos
Vale do Jamari,11001,22,7.5,64,504.9,50.36,0.651,4.3,7.5,237074,22,7.5,64,123134,113940,10.1,37.9,15.9,769.5,2.4,20.4,157,137.1,289.8,12.2,4.6,32.9,29.9,9.28,2.95,2.53,34.17,9.28,1.69,0.84,0.5,0,95.1,109.1,45.7,174.8,6.4,0.64,2.9,86.4,68,55.8,5,7.6,2.6,3.9,0,14.2
Café,11002,59.4,37,71.9,612.11,45.46,0.7,5.3,10.4,171436,59.4,37,71.9,86718,84718,8.7,31.8,17,784.6,2.3,21.1,165.9,157.7,324.3,12.2,4.7,39.1,35.6,4.08,2.92,4.67,49.58,4.08,1.17,4.67,0,0,99.3,102.8,36.2,366.8,6,0.67,6,80.3,150.2,57.3,4,11.1,0.4,4.4,79.6,15.9
Central,11003,30.2,12.8,64,524.58,47.02,0.675,5.3,9.3,365754,30.2,12.8,64,185566,180188,9.9,35.8,15,731.1,2.3,19.7,144.1,154.9,291.2,13.1,6,35.5,34.7,5.74,3.55,2.19,29.8,5.74,2.19,1.91,1.3,0,99.2,116.8,58.7,230.7,7.6,0.59,5.3,89.3,182.1,45.6,0,9.9,2.8,7,109.5,19.7
Madeira-Mamoré,11004,35.1,37.6,84.9,742.59,45.22,0.721,5.6,6.9,554786,35.1,37.6,84.9,284228,270558,5.8,26.9,17.1,962.7,1.6,17.5,168.9,113.2,257.5,13.2,7.4,63.6,60.4,11,10.09,9.91,74.44,11,7.39,9.19,4.6,1.3,99.3,95.2,46.6,365.1,2.8,0.47,17.5,64.6,62.3,41.3,8,12.1,2.4,6.5,70.9,21.1
Zona da Mata,11005,31.5,7.5,57.3,470.13,46.66,0.662,5.4,7.5,143990,31.5,7.5,57.3,74033,69957,10.8,40.8,16.3,824.9,3.2,24.8,204.3,174.9,369.3,14.6,7.6,38.2,37.5,5.56,1.39,1.39,28.47,5.56,1.39,1.39,0,0,99.6,98,70.3,181.9,10.8,0.94,15.3,92,192.1,34.1,1,9.2,1.8,5.5,92,16.6
Cone Sul,11006,70.3,12.4,79.7,597.46,45.76,0.705,6,4.7,146432,70.3,12.4,79.7,74119,72313,8.3,29,12.9,1007.7,2.2,21.5,216.3,170.3,385.6,8.2,4.8,40.3,39.6,6.83,4.78,4.1,45.76,6.83,4.78,2.73,0,0,99.8,108,43.7,423.5,4.5,0.41,6.9,85.3,87.4,83.5,0,10.9,5.5,4.1,0,20.4
Vale do Guaporé,11007,7.4,9.7,46.5,389.16,54.58,0.609,4.6,2.2,44016,7.4,9.7,46.5,23174,20842,9.2,51.1,19.5,916.5,2.9,18.1,165.4,148.3,326.3,9.1,6.8,29.5,29.5,4.54,0,0,15.9,4.54,0,0,0,0,99.9,123.7,47,232.3,12.7,0.61,1.4,91.5,26.1,59.4,0,5.6,1.4,1.4,0,8.4
Alto Acre,12001,45.4,25.9,63.4,367.09,61.19,0.618,5.9,4.2,58731,45.4,25.9,63.4,30278,28453,19.7,59.8,23.3,672.9,2.1,16,107.4,118.1,215.4,3.4,3.4,85.1,85.1,25.54,0,0,64.7,25.54,0,0,0,0,83.6,102.1,84.3,143.4,17.8,0.91,0.9,92.3,13.8,24.3,1,9.4,4.7,3.9,0,18
Baixo Acre e Purus,12002,38.7,44.4,80.9,586.49,55.16,0.693,8.2,6.9,475967,38.7,44.4,80.9,238654,237313,12.7,45.1,21.7,745.5,1.5,15.7,116.9,81.3,187.7,9.9,2.5,90.1,88.9,8.82,1.05,7.56,81.31,8.82,1.05,7.14,1.1,0.1,95,92.6,44.2,558.9,0.6,0.85,9.3,77.4,142.4,39.4,12,8.1,3.4,7.3,41.2,18.8
Juruá e Tarauacá/Envira,12003,26.4,9.9,50.4,309.05,78.38,0.599,6.1,2.9,199747,26.4,9.9,50.4,102614,97133,27.5,68.2,34.5,495.3,2,17.1,84.8,115.4,197.9,5,3,56.6,56.6,13.02,1.5,1,44.56,13.02,1,1,0,0,72,98.8,72.5,489.3,1.2,0.83,0.7,87.4,208.3,15,5,8.2,1.1,5.5,36.4,14.7
Entorno Manaus e Alto Rio Negro,13001,65.3,55.2,90.3,641.12,50.31,0.718,10.4,6,2192864,65.3,55.2,90.3,1087546,1105318,5.3,41,23.2,895.4,1,19.3,172.4,67.1,237.7,8.5,4.9,52.9,51.3,8.12,10.53,15.41,79.99,8.12,10.03,14.5,1.8,0.9,97.4,97.3,35.6,555.2,0.3,0.45,19.8,48.2,95.8,34.6,89,6.5,2.5,5.5,87,14.6
Rio Negro e Solimões,13002,40.4,25.9,58.2,277.82,71.93,0.587,9.1,1.7,260720,40.4,25.9,58.2,135558,125162,16.7,65,24.8,814.1,3.1,16.1,131.4,108.8,297.1,3.5,3.5,45.3,45.3,17.26,1.92,0.77,32.99,17.26,1.92,0.77,0,0,92.8,99.6,69.3,122.6,3.4,0.33,2.5,88.3,70,25.7,0,7.4,2.4,6.5,130,16.3
Rio Madeira,13003,36.4,10.7,49,284.82,68.97,0.588,8.5,0.8,171378,36.4,10.7,49,90430,80948,16.3,66.1,30,591.4,4.2,24.1,142.3,118.2,255.2,4.7,4.7,38.5,38.5,14.59,1.17,0.58,24.51,14.59,1.17,0.58,0,0,85.8,95,66.4,145.3,7.3,0.39,0.7,90.5,240.7,33,1,10.4,1.3,3,33.5,14.8
Médio Amazonas,13004,64.4,16.3,65.4,302.35,71.83,0.631,8.3,2.6,154274,64.4,16.3,65.4,80235,74039,8.6,62.9,23.2,702.1,3.4,19.3,135.7,131.9,287.9,5.2,3.9,63.5,63.5,14.91,1.94,1.3,35,14.91,1.94,1.3,0,0,90.3,111.7,95.5,180.7,4.8,0.54,1.2,96.6,183.3,40.1,4,8.9,0.9,3.1,0,12.9
Baixo Amazonas,13005,52.4,19.7,50.7,239.69,78.95,0.621,8.3,3.3,222294,52.4,19.7,50.7,115579,106715,7.3,70.7,27.3,498,4.5,18.4,91.7,141.8,245.7,4.9,3.6,38.7,38.7,7.2,0.45,0.45,23.39,7.2,0.45,0.45,0,0,82.9,104.4,66.7,223.9,0.7,0.4,0.6,96.3,233.4,26.2,3,7.1,1.5,5.9,20.9,14.4
